"title"	"date"	"document_doc"	"document_pdf"	"text"	"document_reference"	"agency"	"month"	"quarter"	"year"
"On recommendations from the European Court of Auditors on the internal energy market"	2016-01-12	NA	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/015823/P8_QE(2015)015823_EN.pdf"	"Extract: Commission: a) ‘put in place, to support the needs assessment, a capacity to model energy markets including a broad range of demand projections, either in-house or in ACER.’ b) ‘should assure that ACER has the necessary powers to obtain from key"	"
								 
							      
							      
							         P8_QE(2015)015823
							      
							    
							"	"ACER"	2016-01-01	2016-01-01	2016-01-01
"German-Austrian single bidding zone"	2015-11-20	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/014300/P8_QE(2015)014300_EN.doc"	NA	"Extract:Question for written answer E-014300/2015to the CommissionRule 130Barbara Kappel (ENF)Subject:German-Austrian single bidding zoneThe ACER has issued an opinion calling for an end to artificial congestion and thus the splitting of the"	"
								 
							      
							      
							         P8_QE(2015)014300
							      
							    
							"	"ACER"	2015-11-01	2015-10-01	2015-01-01
"European energy market"	2015-10-06	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/012179/P8_QE(2015)012179_EN.doc"	NA	"Extract: Cooperation of Energy Regulators (ACER) in the execution of its regulatory duties at EU level, not lead to the destabilisation of national energy networks?These hitherto stable energy networks will be forced to substitute for energy fluctuations and outages"	"
								 
							      
							      
							         P8_QE(2015)012179
							      
							    
							"	"ACER"	2015-10-01	2015-10-01	2015-01-01
"Energy Union Package: more powers and independence for ACER within the framework of a fully integrated internal energy market"	2015-08-18	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/011973/P8_QE(2015)011973_EN.doc"	NA	"Extract:Question for written answer E-011973/2015to the CommissionRule 130Dawid Bohdan Jackiewicz (ECR)Subject:Energy Union Package: more powers and independence for ACER within the framework of a fully integrated internal energy marketThe Energy"	"
								 
							      
							      
							         P8_QE(2015)011973
							      
							    
							"	"ACER"	2015-08-01	2015-07-01	2015-01-01
"Splitting of energy price zones"	2015-08-04	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/011489/P8_QE(2015)011489_EN.doc"	NA	"Extract: lower energy prices. The calls from neighbouring countries to split this price zone, a move which the Agency for the Cooperation of Energy Regulators (ACER) is considering, are linked to the desire to overcome border bottlenecks. More specifically"	"
								 
							      
							      
							         P8_QE(2015)011489
							      
							    
							"	"ACER"	2015-08-01	2015-07-01	2015-01-01
"ACER"	2015-06-30	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/009043/P8_QE(2015)009043_EN.doc"	NA	"Extract:Question for written answer E-009043/2015to the CommissionRule 130Ivan Jakovcic (ALDE)Subject:ACERAt the plenary session of the European Parliament of 21 May 2015 I spoke about ACER.Since it was clear from the discussion that a vast"	"
								 
							      
							      
							         P8_QE(2015)009043
							      
							    
							"	"ACER"	2015-06-01	2015-04-01	2015-01-01
"Energy Union"	2015-06-11	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/008055/P8_QE(2015)008055_EN.doc"	NA	"Extract:Question for written answer E-008055/2015to the CommissionRule 130Ian Duncan (ECR)Subject:Energy UnionThe Energy Union communication proposes action to reassess the role of ACER (the European Agency for the Cooperation of Energy Regulators"	"
								 
							      
							      
							         P8_QE(2015)008055
							      
							    
							"	"ACER"	2015-06-01	2015-04-01	2015-01-01
"Mobility between operators: procedures lacking transparency for Italian users"	2015-01-13	"http://www.europarl.europa.eu/RegData/questions/ecrites/2014/011228/P8_QE(2014)011228_EN.doc"	NA	"Extract:Question for written answer E-011228/2014to the CommissionRule 130Mara Bizzotto (NI)Subject:Mobility between operators: procedures lacking transparency for Italian usersAccording to the latest report from the ACER - European Agency for the"	"
								 
							      
							      
							         P8_QE(2014)011228
							      
							    
							"	"ACER"	2015-01-01	2015-01-01	2015-01-01
"Meeting expenses of the Agency for the Cooperation of Energy Regulators"	2013-11-05	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/011971/P7_QE(2013)011971_EN.doc"	NA	"Extract: Regulators (ACER) for 2014 the Agency provides for an appropriation for 2014 of EUR 322 839 for ‘meeting expenses’. In 2013, the amount provided for was EUR 367 609.1.What meetings took place in 2012 and 2013, respectively?2.How many people attended each"	"
								 
							      
							      
							         P7_QE(2013)011971
							      
							    
							"	"ACER"	2013-11-01	2013-10-01	2013-01-01
"Events organised by the Agency for the Cooperation of Energy Regulators"	2013-10-31	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/011942/P7_QE(2013)011942_EN.doc"	NA	"Extract: Regulators (ACER) for 2014<U+FFFD> the Agency provides for an appropriation for 2014 of EUR 12 000 (p. 28) for receptions and events and EUR 60 000 each for catering for the Agency’s events and for conference facilities for the Agency (p. 74). The same Work"	"
								 
							      
							      
							         P7_QE(2013)011942
							      
							    
							"	"ACER"	2013-10-01	2013-10-01	2013-01-01
"'Operational missions' of the Agency for the Cooperation of Energy Regulators"	2013-10-31	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/011941/P7_QE(2013)011941_EN.doc"	NA	"Extract: Regulators (ACER) for 2014<U+FFFD> the Agency provides for an appropriation for 2014 of EUR 369 200 for ‘Operational Missions’. In 2013, the amount was EUR 225 000.1.What ‘operational missions’ did the Agency carry out in 2012 and 2013, respectively?2.Why is the"	"
								 
							      
							      
							         P7_QE(2013)011941
							      
							    
							"	"ACER"	2013-10-01	2013-10-01	2013-01-01
"Websites of the Agency for the Cooperation of Energy Regulators"	2013-10-31	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/011940/P7_QE(2013)011940_EN.doc"	NA	"Extract: (ACER) for 2014<U+FFFD> the Agency provides for an appropriation for 2014 of EUR 314 600 for ‘Stakeholder involvement, public relations and website’. For 2013, another EUR 127 875 was provided for. The Agency also provides for a tendering procedure for"	"
								 
							      
							      
							         P7_QE(2013)011940
							      
							    
							"	"ACER"	2013-10-01	2013-10-01	2013-01-01
"Property belonging to the Agency for the Cooperation of Energy Regulators"	2013-10-31	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/011939/P7_QE(2013)011939_EN.doc"	NA	"Extract: Regulators (ACER) for 2014<U+FFFD> the Agency provides for costs of EUR 1 439 960 for rent and associated costs for 2014. For 2013, an amount of EUR 1 120 000 was provided for.1.What properties does the Agency rent?2.What is the size of each of these properties"	"
								 
							      
							      
							         P7_QE(2013)011939
							      
							    
							"	"ACER"	2013-10-01	2013-10-01	2013-01-01
"Staff of the Agency for the Cooperation of Energy Regulators"	2013-10-31	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/011938/P7_QE(2013)011938_EN.doc"	NA	"Extract:Question for written answer E-011938/2013to the CommissionRule 117Hans-Peter Martin (NI)Subject:Staff of the Agency for the Cooperation of Energy RegulatorsIn the Work Programme of the Agency for the Cooperation of Energy Regulators (ACER"	"
								 
							      
							      
							         P7_QE(2013)011938
							      
							    
							"	"ACER"	2013-10-01	2013-10-01	2013-01-01
"Web application development for the Agency for the Cooperation of Energy Regulators"	2013-10-31	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/011937/P7_QE(2013)011937_EN.doc"	NA	"Extract: Energy Regulators (ACER) for 2014<U+FFFD> the Agency provides for a tendering procedure for 2014 for ‘web application development, software maintenance and remote support to stakeholder services’ for an amount of EUR 360 000.1.For what purpose is a web"	"
								 
							      
							      
							         P7_QE(2013)011937
							      
							    
							"	"ACER"	2013-10-01	2013-10-01	2013-01-01
"Financing of ACER in 2013 and implementation of REMIT"	2012-06-19	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/005874/P7_QE(2012)005874_EN.doc"	NA	"Extract:Question for written answer E-005874/2012to the CouncilRule 117Romana Jordan (PPE)Subject:Financing of ACER in 2013 and implementation of REMITOn 28 December 2011 the Regulation on Energy Market Integrity and Transparency (REMIT) entered"	"
								 
							      
							      
							         P7_QE(2012)005874
							      
							    
							"	"ACER"	2012-06-01	2012-04-01	2012-01-01
"Economic crisis and PC market"	2008-12-22	"http://www.europarl.europa.eu/RegData/questions/ecrites/2008/6899/P6_QE(2008)6899_EN.doc"	NA	"Extract: in fact mainly affect small producers and those in direct competition with the three market leaders in PCs (HP, Dell and Acer). These competitors will find themselves obliged to leave the market and this will lead to an exponential increase in"	"
								 
							      
							      
							         P6_QE(2008)6899
							      
							    
							"	"ACER"	2008-12-01	2008-10-01	2008-01-01
"Commission funding"	2008-07-02	"http://www.europarl.europa.eu/RegData/questions/ecrites/2008/3702/P6_QE(2008)3702_EN.doc"	NA	"Extract: budget headings did the funding come from?Azienda Casa Reggio Emilia ACERBalkan Foundation for Sustainable DevelopmentBallybane Youth Development Project, Ballybane Resource CentreBAOK EuroparepresentanzBEAFBEE German Renewable Energy"	"
								 
							      
							      
							         P6_QE(2008)3702
							      
							    
							"	"ACER"	2008-07-01	2008-07-01	2008-01-01
"Kanchia complex"	2007-03-08	"http://www.europarl.europa.eu/RegData/questions/ecrites/2007/1168/P6_QE(2007)1168_EN.doc"	NA	"Extract: Staro-Oryachovo marshes), a beach with sand-dunes, and a sea bay. The forests are dominated by Fraxinus, Ulmus, Quercus, Acer and Alnus, with scrub of Crataegus, Cornus, Paliurus and Ligustrum, and lianas of Clematis, Smilax and Periploca.The site is"	"
								 
							      
							      
							         P6_QE(2007)1168
							      
							    
							"	"ACER"	2007-03-01	2007-01-01	2007-01-01
"Net neutrality"	2017-12-16	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/007804/P8_QE(2017)007804_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/007804/P8_QE(2017)007804_EN.pdf"	"Extract: other providers are planning or have already introduced similar offers. 1. Is downgrading of the quality of reproduction under many contracts permissible (Net Neutrality Regulation and BEREC guidelines) when better quality is available, or does this"	"
								 
							      
							      
							         P8_QE(2017)007804
							      
							    
							"	"BEREC"	2017-12-01	2017-10-01	2017-01-01
"BEREC oversteps its remit"	2017-07-11	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/004652/P8_QE(2017)004652_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/004652/P8_QE(2017)004652_EN.pdf"	"Extract:1132302.EN PE 608.261 Question for written answer E-004652/2017/rev.1 to the Council Rule 130 Werner Langen (PPE) Subject: BEREC oversteps its remit The activities of the European Regulators for Electronic Communications (BEREK), which"	"
								 
							      
							      
							         P8_QE(2017)004652
							      
							    
							"	"BEREC"	2017-07-01	2017-07-01	2017-01-01
"Network-wide advertisement blocking"	2016-10-17	"http://www.europarl.europa.eu/RegData/questions/ecrites/2016/007553/P8_QE(2016)007553_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2016/007553/P8_QE(2016)007553_EN.pdf"	"Extract: networks suffered a setback after new EU telecoms rules prohibited this process. The guidelines published by the Body of European Regulators for Electronic Communications (BEREC) advised local mobile regulators that, while consumers should be allowed to"	"
								 
							      
							      
							         P8_QE(2016)007553
							      
							    
							"	"BEREC"	2016-10-01	2016-10-01	2016-01-01
"Role of BEREC in introducing the regulation on a single telecommunications market"	2016-02-01	NA	"http://www.europarl.europa.eu/RegData/questions/ecrites/2016/000305/P8_QE(2016)000305_EN.pdf"	"Extract:1083755.EN PE 574.866 Question for written answer E-000305/2016 to the Commission Rule 130 Krišjanis Karinš (PPE) Subject: Role of BEREC in introducing the regulation on a single telecommunications market The single telecommunications"	"
								 
							      
							      
							         P8_QE(2016)000305
							      
							    
							"	"BEREC"	2016-02-01	2016-01-01	2016-01-01
"On-going concentration in the telecommunications sector and connectivity problems"	2015-08-04	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/011426/P8_QE(2015)011426_EN.doc"	NA	"Extract:, the Chair of BEREC – a body which brings together the 28 national regulatory authorities in the telecommunications sector – indicated that there was a movement towards consolidation, referring specifically to countries such as Portugal – where MEO/PT"	"
								 
							      
							      
							         P8_QE(2015)011426
							      
							    
							"	"BEREC"	2015-08-01	2015-07-01	2015-01-01
"Problems linked to the end of roaming charges"	2015-08-04	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/011424/P8_QE(2015)011424_EN.doc"	NA	"Extract:Question for written answer E-011424/2015to the CommissionRule 130João Ferreira (GUE/NGL)Subject:Problems linked to the end of roaming chargesIn an interview with the Portuguese press, the Chair of BEREC – a body which brings together the"	"
								 
							      
							      
							         P8_QE(2015)011424
							      
							    
							"	"BEREC"	2015-08-01	2015-07-01	2015-01-01
"The abolition of roaming tariffs"	2015-02-16	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/002045/P8_QE(2015)002045_EN.doc"	NA	"Extract: previous Commission proposal?Are there other impact reports justifying the deceleration of the previous schedule besides the BEREC BoR (14) 187 report, which does not support the aforementioned with tangible figures? What other figures and data support"	"
								 
							      
							      
							         P8_QE(2015)002045
							      
							    
							"	"BEREC"	2015-02-01	2015-01-01	2015-01-01
"Telecoms"	2013-11-19	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/012591/P7_QE(2013)012591_EN.doc"	NA	"Extract: harmonisation made by the Body of European Regulators for Electronic Communications (BEREC), why does the Commission wish to override the proven strength of these mechanisms?Why was there no specific assessment of the expected impact of this proposal on small"	"
								 
							      
							      
							         P7_QE(2013)012591
							      
							    
							"	"BEREC"	2013-11-01	2013-10-01	2013-01-01
"Redress mechanisms aimed at the blocking or degradation of online services"	2013-07-02	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/007205/P7_QE(2013)007205_EN.doc"	NA	"Extract: citizens experience blocking or degradation of their online services. She made reference to the 2011 study by the Body of European Regulators for Electronic Communications (BEREC) which highlights that one in five fixed line users and more than one in three"	"
								 
							      
							      
							         P7_QE(2013)007205
							      
							    
							"	"BEREC"	2013-07-01	2013-07-01	2013-01-01
"Use of IP tracking by Internet sites"	2013-06-13	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/006023/P7_QE(2013)006023_EN.doc"	NA	"Extract: the Body of European Regulators for Electronic Communications (BEREC) for its opinion on this matter?937870.ENPE 512.627"	"
								 
							      
							      
							         P7_QE(2013)006023
							      
							    
							"	"BEREC"	2013-06-01	2013-04-01	2013-01-01
"Accuracy and reliability criteria in the Universal Services Directive with regard to calls to the emergency services"	2013-06-04	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/005772/P7_QE(2013)005772_EN.doc"	NA	"Extract:, having consulted BEREC (Body of European Regulators for Electronic Communications), may adopt technical implementing measures’. However, the Commission has decided to delegate this responsibility to the CEPT (European Conference of Postal and"	"
								 
							      
							      
							         P7_QE(2013)005772
							      
							    
							"	"BEREC"	2013-06-01	2013-04-01	2013-01-01
"Internet neutrality"	2013-05-06	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/004536/P7_QE(2013)004536_EN.doc"	NA	"Extract: with the investigation undertaken by the Body of European Regulators of Electronic Communications (BEREC).2.How can the Commission say that the online market is protected when consumers will have the comparative choice between ‘champagne’ and"	"
								 
							      
							      
							         P7_QE(2013)004536
							      
							    
							"	"BEREC"	2013-05-01	2013-04-01	2013-01-01
"Why did the Commission change ex-ante tests on margin squeeze to ex-post tests in its telecoms recommendation of December 7 2012?"	2013-03-18	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/002483/P7_QE(2013)002483_EN.doc"	NA	"Extract: intended to launch a public consultation but to seek the opinion of the Body of European Regulators of Electronic Communications (BEREC), under the procedure set out in Article 19 of Directive 2002/21/EC.The draft recommendation does, however, raise"	"
								 
							      
							      
							         P7_QE(2013)002483
							      
							    
							"	"BEREC"	2013-03-01	2013-01-01	2013-01-01
"What audit data did the Commission use to establish disproportionate input on copper networks in its draft Recommendation of 7 December 2012?"	2013-03-18	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/002482/P7_QE(2013)002482_EN.doc"	NA	"Extract: recommendation was not intended to launch a public consultation but to seek the opinion of the Body of European Regulators for Electronic Communications (BEREC), under the procedure set out in Article 19 of Directive 2002/21/EC.The draft recommendation does"	"
								 
							      
							      
							         P7_QE(2013)002482
							      
							    
							"	"BEREC"	2013-03-01	2013-01-01	2013-01-01
"Commission's assessment of the risk of its new recommendation on non-discrimination delaying fibre-to-the-home (FTTH) deployment in Europe"	2013-03-12	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/002454/P7_QE(2013)002454_EN.doc"	NA	"Extract: this draft recommendation was not aimed at opening a public consultation but only at seeking the opinion of the Body of European Regulators for Electronic Communications (BEREC), under the procedure set out in Article 19 of Directive 2002/21/EC.While"	"
								 
							      
							      
							         P7_QE(2013)002454
							      
							    
							"	"BEREC"	2013-03-01	2013-01-01	2013-01-01
"Lack of public consultations on Commission policy approach in non-discrimination and costing methods for incumbent and wholesale broadband networks"	2013-03-11	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/002378/P7_QE(2013)002378_EN.doc"	NA	"Extract: draft was aimed not at opening a public consultation, but only at seeking the opinion of BEREC (the Body of European Regulators of Electronic Communications) under the procedure set out in Article 19 of Directive 2002/21/EC.The draft raises important"	"
								 
							      
							      
							         P7_QE(2013)002378
							      
							    
							"	"BEREC"	2013-03-01	2013-01-01	2013-01-01
"Why has the Commission not recommended functional separation in the telecommunications industry?"	2013-03-11	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/002120/P7_QE(2013)002120_EN.doc"	NA	"Extract: consultation but to formally seek the opinion of the Body of European Regulators for Electronic Communications (BEREC), in line with the procedure laid down in Article 19 of Directive 2002/21/EC.The draft recommendation does, however, raise important"	"
								 
							      
							      
							         P7_QE(2013)002120
							      
							    
							"	"BEREC"	2013-03-01	2013-01-01	2013-01-01
"European emergency number - caller location"	2013-01-21	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/000270/P7_QE(2013)000270_EN.doc"	NA	"Extract:) of Directive 2009/136/EC stipulates that 'in order to ensure effective access to 112 services in the Member States, the Commission, having consulted BEREC, may adopt technical implementing measures (...) without prejudice to (...) the organisation"	"
								 
							      
							      
							         P7_QE(2013)000270
							      
							    
							"	"BEREC"	2013-01-01	2013-01-01	2013-01-01
"Bill seeking to reorganise Spain's regulators"	2012-11-26	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/010523/P7_QE(2012)010523_EN.doc"	NA	"Extract: content of the bill. BEREC, the body of European regulators for electronic communications, has approved a statement in which, in a clear reference to the Spanish case, it expresses its opposition to the trend in some Member States according to which powers"	"
								 
							      
							      
							         P7_QE(2012)010523
							      
							    
							"	"BEREC"	2012-11-01	2012-10-01	2012-01-01
"Draft law to set up the National Commission for Markets and Competition (CNMC)"	2012-11-26	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/010396/P7_QE(2012)010396_EN.doc"	NA	"Extract:, requires independent regulators in all Member States to have a common set of powers in order to facilitate cooperation in BEREC.In addition to hindering participation in BEREC, dividing basic regulatory powers between two bodies would undermine legal"	"
								 
							      
							      
							         P7_QE(2012)010396
							      
							    
							"	"BEREC"	2012-11-01	2012-10-01	2012-01-01
"Telecommunications Market Commission"	2012-11-16	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/010181/P7_QE(2012)010181_EN.doc"	NA	"Extract: Member States to have a common set of powers in order to facilitate cooperation in BEREC (the Body of European Regulators for Electronic Communications). Dividing basic regulatory powers between two bodies would complicate Spanish participation in BEREC"	"
								 
							      
							      
							         P7_QE(2012)010181
							      
							    
							"	"BEREC"	2012-11-01	2012-10-01	2012-01-01
"BEREC findings and EU action on net neutrality"	2012-06-07	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/005426/P7_QE(2012)005426_EN.doc"	NA	"Extract:Question for written answer E-005426/2012to the CommissionRule 117Marietje Schaake (ALDE)Subject:BEREC findings and EU action on net neutralityOn 29 May 2012, the Body of European Regulators for Electronic Communications (BEREC) published"	"
								 
							      
							      
							         P7_QE(2012)005426
							      
							    
							"	"BEREC"	2012-06-01	2012-04-01	2012-01-01
"Independence of national regulators"	2012-03-22	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/002883/P7_QE(2012)002883_EN.doc"	NA	"Extract: that would impose rules regarding unbundling of services in the telecoms sector, BEREC has issued a press release expressing serious concern about the importance of safeguarding the independence of national regulators in the field of the electronic"	"
								 
							      
							      
							         P7_QE(2012)002883
							      
							    
							"	"BEREC"	2012-03-01	2012-01-01	2012-01-01
"An unlevel playing field in the internal market"	2011-12-12	"http://www.europarl.europa.eu/RegData/questions/ecrites/2011/011735/P7_QE(2011)011735_EN.doc"	NA	"Extract: for the electronic communications sector, for instance in Article 7, there is an obligation for Member States and their national regulatory authorities, the Commission and the Body of European Regulators for Electronic Communications (BEREC), to ensure"	"
								 
							      
							      
							         P7_QE(2011)011735
							      
							    
							"	"BEREC"	2011-12-01	2011-10-01	2011-01-01
"Ceiling for data roaming charges"	2011-09-22	"http://www.europarl.europa.eu/RegData/questions/ecrites/2011/008465/P7_QE(2011)008465_EN.doc"	NA	"Extract: despite the fact that, according to the Body of European Regulators for Electronic Communications (BEREC), the actual costs to providers are only 8 to 12 cents per megabyte? If not, why not? 2.Can the Commission explain why it is necessary to set a"	"
								 
							      
							      
							         P7_QE(2011)008465
							      
							    
							"	"BEREC"	2011-09-01	2011-07-01	2011-01-01
"International roaming services"	2011-09-13	"http://www.europarl.europa.eu/RegData/questions/ecrites/2011/008102/P7_QE(2011)008102_EN.doc"	NA	"Extract: national operators. This solution has been contested by BEREC and by the majority of operators, on the grounds that it would require structural modifications and would thus be very expensive in terms of technical and administrative costs (starting with the"	"
								 
							      
							      
							         P7_QE(2011)008102
							      
							    
							"	"BEREC"	2011-09-01	2011-07-01	2011-01-01
"Caller location for 112 calls"	2010-06-01	"http://www.europarl.europa.eu/RegData/questions/ecrites/2010/3859/P7_QE(2010)3859_EN.doc"	NA	"Extract:) and response times can officially be as much as 150 minutes.What is the Commission’s timetable for setting the aforementioned criteria?What role will the BEREC play?Which stakeholders will be consulted?<U+FFFD> OJ L 189, 29.7.2003, p. 49.<U+FFFD> OJ L 337"	"
								 
							      
							      
							         P7_QE(2010)3859
							      
							    
							"	"BEREC"	2010-06-01	2010-04-01	2010-01-01
"Body of European Regulators for Electronic Communications (BEREC)"	2010-03-08	"http://www.europarl.europa.eu/RegData/questions/ecrites/2010/1261/P7_QE(2010)1261_EN.doc"	NA	"Extract:WRITTEN QUESTION E-1261/10by Georgios Papanikolaou (PPE)to the CommissionSubject:Body of European Regulators for Electronic Communications (BEREC)Regulation (EC) No 1211/2009<U+FFFD> established the Body of European Regulators for Electronic"	"
								 
							      
							      
							         P7_QE(2010)1261
							      
							    
							"	"BEREC"	2010-03-01	2010-01-01	2010-01-01
